Years,Mahendra Singh Dhoni,Gautam Gambhir,Virender Sehwag,Murali Vijay,Virat Kohli,AB de Villiers,Albie Morkel,Chris Gayle,Yuvraj Singh,Suresh Raina,Rohit Sharma,Yusuf Pathan,Shane Watson,Keiron Pollard,Ravindra Jadeja,Steve Smith
2008,414,534,406,0,165,95,241,200,299,421,404,435,472,0,135,0
2009,619,286,554,518,246,465,295,171,340,434,362,243,0,0,295,0
2010,287,277,356,458,307,111,198,292,255,520,404,333,185,273,0,0
2011,392,378,424,434,557,312,138,608,343,438,372,283,330,146,283,0
2012,358,590,495,336,364,319,107,733,0,441,433,194,255,220,191,362
2013,461,406,295,312,634,360,46,708,238,548,538,332,543,420,201,159
2014,371,335,455,207,359,395,45,196,376,523,390,268,240,273,146,147
2015,372,327,99,251,505,513,86,491,248,374,482,312,347,419,132,293
2016,284,501,0,453,973,687,16,227,236,399,489,361,179,207,191,270
2017,129,243,0,0,154,145,0,144,96,275,112,105,61,199,51,224
