Years,Harbhajan Singh,Morne Morkel,Albie Morkel,Ravichandran Ashwin,Lasith Malinga,Shane Watson,Amit Mishra,Piyush Chawla,Keiron Pollard,Ishant Sharma,Ravindra Jadeja,Dale Steyn,Mitchell Johnson
2008,5,0,17,0,0,17,11,17,0,7,0,10,0
2009,12,0,13,15,18,0,14,12,0,18,6,17,0
2010,17,0,11,13,15,6,17,12,15,7,0,15,0
2011,14,13,15,20,28,6,19,16,10,11,8,14,0
2012,6,25,13,14,22,6,13,16,16,0,12,18,0
2013,24,7,7,15,20,13,21,11,10,15,13,19,24
2014,14,12,4,16,16,7,7,14,2,3,19,11,17
2015,18,10,3,10,24,6,9,11,3,1,11,3,9
2016,9,10,2,15,0,20,13,11,0,10,8,0,2
2017,4,0,0,0,4,2,7,2,0,2,2,0,1
