Years,Harbhajan Singh,Morne Morkel,Albie Morkel,Ravichandran Ashwin,Lasith Malinga,Shane Watson,Amit Mishra,Piyush Chawla,Keiron Pollard,Ishant Sharma,Ravindra Jadeja,Dale Steyn,Mitchell Johnson
2008,0.85,0,0.675,0,0.35,0.125,,0.4,,0.95,0,0.325,0
2009,0.85,0,0.675,0,0.35,0.125,,0.4,,0.95,0,0.325,0
2010,0.85,0,,0,0.35,0.125,,0.4,0.75,0.45,0,0.325,0
2011,0.85,0.475,0.675,0.85,,0.125,,0.9,0.75,0.45,0.95,1.2,0
2012,0.85,0.475,0.675,0.85,,0.125,0.3,0.9,0.75,0.45,0,1.2,0
2013,1.3,0.475,0.5,0.85,1.1,1.3,,0.9,0.9,0.45,0,1.2,0.3
2014,1.33333,0.466,0.4,1.25,1.35,1.3,,0.708,0.9,,0.916667,1.2,1.083
2015,1.33333,0.466,0.05,1.25,1.35,1.3,0.583,0.708,0.9,,0.91667,1.2,1.083
2016,1.3,0.466,0.05,1.25,1.35,1.425,0,0.708,0.9,0.57,0.9167,0.345,1.083
2017,1.333333,0,0.05,1.25,1.35,1.425,0.015,0.708,0.9,0.57,0.916667,0,0.299
